,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
512,49257646,3,8500000,64.0,40.0,8.0,14.061736753619888,7.0,1,0,0,1,7,9.0,0
513,49268791,1,5800000,38.0,20.0,10.4,11.18705730954729,15.0,0,0,1,1,5,12.0,0
514,49292696,2,13300000,49.0,33.0,9.0,9.431763825549066,10.0,1,1,0,1,12,30.0,0
515,49303889,2,7300000,44.0,30.0,6.0,12.683680656449528,10.0,1,1,1,1,4,5.0,0
516,49305754,3,10900000,63.6,43.0,8.0,13.679892698137717,3.0,1,0,1,1,10,10.0,0
517,49348609,2,8200000,53.0,32.1,8.6,11.448955648335625,15.0,1,1,0,0,2,8.0,0
518,49364524,2,6999000,48.0,28.0,9.0,13.501939192807557,15.0,1,0,1,1,12,14.0,0
519,49396286,3,36000000,115.0,64.0,14.2,6.4975213312675955,10.0,1,1,0,1,16,24.0,0
520,49427939,4,110500000,150.1,100.0,20.0,5.830753737260722,2.0,1,1,0,1,7,22.0,0
521,49441326,2,5500000,45.0,32.0,6.0,14.308541163278875,13.0,1,0,1,0,1,5.0,0
522,49441339,1,3200000,44.0,20.0,12.0,16.049130056284802,15.0,1,1,0,1,10,17.0,1
523,49442944,1,8200000,37.4,19.0,9.0,7.613958515783246,5.0,1,0,1,1,4,25.0,0
524,49454141,2,8100000,54.0,31.0,8.6,15.40787265213076,5.0,1,0,0,1,8,14.0,0
525,49461966,1,5500000,34.9,19.6,9.6,14.607516601655357,,0,0,1,1,16,16.0,0
526,49464906,2,22000000,76.0,48.0,,11.967088219766326,11.0,1,1,0,0,17,28.0,1
527,49466309,3,44500000,92.0,88.0,,5.830753737260722,2.0,1,1,0,1,4,33.0,0
528,49481780,3,82293640,176.0,89.0,18.0,5.673028802799306,7.0,1,1,1,1,7,7.0,0
529,49493610,3,12800000,83.0,46.0,10.0,10.073350886237641,26.0,1,0,1,1,21,22.0,0
530,49530517,2,12000000,58.0,30.0,10.0,12.46054927775487,10.0,1,1,1,1,4,9.0,0
531,49530792,3,13700000,73.3,46.8,9.2,12.94057083495881,6.0,1,1,1,1,5,14.0,0
532,49581024,3,8230000,67.5,47.6,5.9,14.351360697345653,10.0,1,0,0,1,4,9.0,0
533,49656671,1,7480000,43.0,20.0,10.0,12.127119781114734,11.0,1,1,1,1,14,15.0,0
534,49668721,2,6400000,45.0,29.0,6.0,9.17018952473945,23.0,1,0,1,1,10,12.0,0
535,49670460,4,16000000,103.0,65.0,10.0,15.825205210325189,11.0,1,0,1,1,13,22.0,0
536,49677860,2,7800000,55.0,30.4,11.6,18.577624207725602,10.0,0,0,1,1,3,9.0,0
537,49709568,2,9000000,57.9,37.1,8.5,7.780617989810175,5.0,0,1,0,1,5,5.0,0
538,49719024,3,10800000,82.0,48.0,10.0,13.36302448103265,15.0,1,0,0,1,1,17.0,0
539,49746812,3,11500000,58.0,45.0,6.0,6.142987377018826,13.0,1,0,1,1,2,9.0,0
540,49747031,5,31200000,115.0,78.0,14.0,5.873444083767465,2.0,1,0,1,1,5,17.0,0
541,49748343,2,6500000,45.0,30.0,6.0,11.444581795528626,3.0,1,0,0,1,4,5.0,0
542,49809089,2,8970000,54.5,32.7,8.3,12.94057083495881,3.0,1,1,1,1,4,14.0,0
543,49836368,2,12300000,61.0,39.0,8.6,7.314691589276293,15.0,1,1,1,1,5,6.0,0
544,49846389,1,6300000,35.0,26.0,9.0,8.468926342905057,9.0,1,1,1,1,4,9.0,0
545,49852619,3,25000000,85.0,80.0,,9.36745621807095,,0,1,0,0,12,19.0,0
546,49876724,3,19000000,124.3,72.5,12.0,10.485857638492377,19.0,1,0,0,1,4,6.0,0
547,49877934,3,7300000,60.0,44.0,6.0,13.342347841176899,5.0,1,0,1,1,2,9.0,0
548,49910134,1,5200000,38.0,20.0,10.0,14.011842229081088,,0,0,0,0,2,16.0,0
549,49921514,1,4800000,39.0,21.0,8.5,13.604390501315015,,0,0,0,1,12,12.0,0
550,49927783,2,9000000,60.0,34.0,13.0,18.3791425558361,,0,0,0,1,6,17.0,0
551,49929779,2,7100000,43.0,24.0,6.0,8.429350983279342,12.0,1,0,0,1,5,5.0,0
552,49943768,2,8700000,44.0,29.0,7.0,8.174795155046944,10.0,1,0,1,0,6,9.0,0
553,49944299,3,7500000,60.0,40.0,6.0,14.162311242461803,19.0,1,0,0,1,1,9.0,0
554,49985967,1,6000000,33.3,20.1,6.0,8.573490522771607,13.0,1,1,0,1,8,9.0,0
555,50054615,2,7900000,51.3,30.7,9.0,18.27360146755194,10.0,0,0,0,1,10,17.0,0
556,50125965,3,8800000,58.0,36.0,6.0,9.18117937572635,15.0,1,1,0,0,1,9.0,0
557,50134076,3,6500000,59.0,38.0,6.0,14.922224810502284,23.0,1,0,0,0,1,5.0,0
558,50164213,1,5750000,42.0,19.0,10.0,18.865490066898637,,0,0,0,1,10,24.0,0
559,50164795,1,3990000,49.0,22.0,10.0,16.321603939856647,5.0,1,1,0,1,22,25.0,1
560,50165365,2,16900000,72.9,29.0,18.0,9.384756562585268,10.0,0,1,0,1,9,29.0,0
561,50174170,3,8950000,74.3,44.9,8.7,18.107817762741924,,0,0,0,0,1,11.0,0
562,50179243,3,7950000,54.0,34.0,6.0,9.212434432487026,15.0,1,1,1,1,3,5.0,0
563,50183938,1,4600000,30.3,18.0,6.7,14.123465480465946,7.0,1,0,1,0,1,9.0,0
564,50187169,1,12900000,58.0,30.0,28.0,14.35481916434202,15.0,1,1,1,1,3,7.0,0
565,50191663,3,7000000,50.8,34.4,6.0,13.394703451159323,4.0,0,0,1,1,1,9.0,0
566,50202820,2,30000000,98.0,49.0,17.0,7.167036835855862,15.0,1,0,1,1,2,16.0,0
567,50290507,4,13800000,100.0,64.0,10.0,16.04357053111968,5.0,1,0,0,1,14,22.0,0
568,50290951,2,6800000,43.0,29.0,6.0,10.730556723596804,10.0,1,1,1,1,2,5.0,0
569,50293129,1,7480000,42.0,20.0,12.0,12.127119781114734,12.0,1,1,0,1,14,15.0,0
570,50311984,1,5300000,32.3,21.5,5.5,9.392218014586417,3.0,1,1,0,1,5,9.0,0
571,50319325,4,11300000,76.0,50.8,12.0,8.216950683450227,20.0,1,1,1,1,5,5.0,0
572,50320048,1,6000000,35.0,18.0,7.0,13.92214654731662,12.0,1,0,0,1,14,14.0,0
573,50332981,2,9900000,52.0,32.0,9.0,15.936407848398265,1.0,1,0,1,1,1,14.0,0
574,50335156,3,12550000,72.0,50.3,8.0,5.577198891774389,7.0,1,1,0,1,5,5.0,0
575,50335879,2,14500000,60.0,60.0,,4.981406594161343,18.0,1,1,0,0,4,4.0,1
576,50401006,2,7000000,46.0,32.0,6.5,13.919847508668912,10.0,1,1,1,1,9,9.0,0
